threshold,precision,recall,f1
0.05,0.004994686503719447,0.9591836734693877,0.009937625541812031
0.1,0.008159326197578523,0.9489795918367347,0.016179540709812108
0.15,0.01195680123425045,0.9489795918367347,0.023616048755713562
0.2,0.01639344262295082,0.9387755102040817,0.03222416812609457
0.25,0.02127659574468085,0.9183673469387755,0.041589648798521256
0.3,0.02735562310030395,0.9183673469387755,0.053128689492325853
0.35,0.034324942791762014,0.9183673469387755,0.0661764705882353
0.4,0.04221388367729831,0.9183673469387755,0.08071748878923767
0.45,0.05067567567567568,0.9183673469387755,0.096051227321238
0.5,0.06093432633716994,0.9183673469387755,0.11428571428571428
0.55,0.0728744939271255,0.9183673469387755,0.1350337584396099
0.6,0.08640776699029126,0.9081632653061225,0.15780141843971632
0.65,0.10148232611174458,0.9081632653061225,0.18256410256410258
0.7,0.12108843537414966,0.9081632653061225,0.21368547418967587
0.75,0.14057507987220447,0.8979591836734694,0.2430939226519337
0.8,0.16117216117216118,0.8979591836734694,0.2732919254658385
0.85,0.18550106609808104,0.8877551020408163,0.30687830687830686
0.9,0.24233983286908078,0.8877551020408163,0.38074398249452956
0.95,0.38666666666666666,0.8877551020408163,0.5386996904024768
